Full Bottle Name,Vintage,Country,Region,Grape(s),Drinking Window,Peak Year,Typical Pairings,Suggested Meal (Brazilian-inspired)
Força no Pau Douro DOC,2006,Portugal,Douro,"Touriga Nacional, Touriga Franca, Tinta Roriz",2008–2022,Past peak but drinkable now,"Roast meats, aged cheese",Costela assada (slow-cooked beef ribs)
Orby Cabernet Sauvignon–Merlot,2021,France (Vin de France),Bordeaux-style blend,"Cabernet Sauvignon, Merlot",2023–2028,2025,"Grilled meats, pasta with tomato",Espaguete à bolonhesa
La Causa Cinsault País Carignan,2019,Chile,Itata Valley,"Cinsault, País, Carignan",2021–2027,2025,"Roast chicken, charcuterie",Galinhada
Cielo y Tierra Cabernet Sauvignon Gran Reserva,2021,Argentina,Mendoza,Cabernet Sauvignon,2023–2032,2027,"Steak, hard cheeses",Bife de chorizo com batatas
Araldica Barbera d’Asti Superiore,2018,Italy,Piedmont,Barbera,2020–2028,2024,"Tomato pasta, pizza, beef",Pizza marguerita + linguiça artesanal
LeMonferrine Barbera d’Asti Superiore,2019,Italy,Piedmont,Barbera,2021–2029,2025,"Charcuterie, tomato pasta",Lasanha à bolonhesa
Convento Oreja Crianza Colección Especial,2020,Spain,Ribera del Duero,Tempranillo (Tinto Fino),2023–2032,2026,"Roast lamb, manchego",Cordeiro assado
Cornellana Gran Reserva Cuvée,2017,Chile,Cachapoal Valley,Cabernet Sauvignon blend,2019–2027,2024,"Grilled red meats, empanadas",Picanha na brasa
Quinta das Marias Lote,2016,Portugal,Dão,"Touriga Nacional, Jaen, Alfrocheiro",2018–2028,2023,"Game meats, roasted pork",Leitão à Bairrada
Quinta dos Távoras Reserva Tinto,2018,Portugal,Douro,"Touriga Nacional, Touriga Franca, Tinta Roriz",2021–2030,2025,"Red meats, hearty stews",Feijoada
Quinta da Romaneira Tinto,2014,Portugal,Douro,"Touriga Nacional, Touriga Franca, Tinta Roriz",2017–2027,2022,"Roast beef, cheese",Picanha com farofa
Casa Geraldo Family Reserve,2017,Brazil,Minas Gerais,"Cabernet Sauvignon, Merlot",2019–2026,2023,"Pasta, grilled meats",Nhoque ao sugo
Quinta do Seival Castas Nobres,2020,Brazil (Campanha Gaúcha),Campanha Gaúcha,"Merlot, Cabernet Sauvignon, Tannat",2022–2030,2026,"Red meats, charcuterie",Churrasco gaúcho
Dezzani Monferrato Nebbiolo,2018,Italy,Piedmont,Nebbiolo,2020–2032,2026,"Game, risotto",Risoto de funghi
